ID,Start time,Completion time,Email,Name,Total points,Quiz feedback,Points - Using computers for physics is...,Feedback - Using computers for physics is...,Easy-----Hard,Points - Easy-----Hard,Feedback - Easy-----Hard,Worthless----Beneficial,Points - Worthless----Beneficial,Feedback - Worthless----Beneficial,Exciting-----Boring,Points - Exciting-----Boring,Feedback - Exciting-----Boring,Complicated-----Simple,Points - Complicated-----Simple,Feedback - Complicated-----Simple,Confusing----Clear,Points - Confusing----Clear,Feedback - Confusing----Clear,Good----Bad,Points - Good----Bad,Feedback - Good----Bad,Satisfying---Frustrating,Points - Satisfying---Frustrating,Feedback - Satisfying---Frustrating,Scary----Fun,Points - Scary----Fun,Feedback - Scary----Fun,Comprehensible----Incomprehensible,Points - Comprehensible----Incomprehensible,Feedback - Comprehensible----Incomprehensible,"Challenging----Not Challenging
","Points - Challenging----Not Challenging
","Feedback - Challenging----Not Challenging
",Pleasant----Unpleasant,Points - Pleasant----Unpleasant,Feedback - Pleasant----Unpleasant,Interesting----Dull,Points - Interesting----Dull,Feedback - Interesting----Dull,Disgusting----Attractive,Points - Disgusting----Attractive,Feedback - Disgusting----Attractive,Comfortable----Uncomfortabale,Points - Comfortable----Uncomfortabale,Feedback - Comfortable----Uncomfortabale,Worthwhile----useless,Points - Worthwhile----useless,Feedback - Worthwhile----useless,Work----Play,Points - Work----Play,Feedback - Work----Play,Chaotic----Organized,Points - Chaotic----Organized,Feedback - Chaotic----Organized,Safe----Dangerous,Points - Safe----Dangerous,Feedback - Safe----Dangerous,Tense----Relaxed,Points - Tense----Relaxed,Feedback - Tense----Relaxed,Insecure----Secure,Points - Insecure----Secure,Feedback - Insecure----Secure
1,11/8/21 15:19:03,11/8/21 15:20:15,anonymous,,,,,,5,,,7,,, 3,,, 3,,,4,,, 2,,, 3,,,4,,, 3,,, 3,,, 3,,, 3,,,6,,, 3,,,1,,,1,,,4,,,1,,,5,,,7,,
2,11/8/21 15:19:08,11/8/21 15:20:37,anonymous,,,,,,6,,,7,,, 3,,,1,,,1,,, 2,,,5,,, 2,,,6,,, 2,,,4,,, 3,,,5,,, 2,,,1,,, 2,,,7,,, 2,,, 2,,,5,,
3,11/8/21 15:19:13,11/8/21 15:20:52,anonymous,,,,,,4,,,6,,,6,,,5,,,4,,, 2,,,7,,, 3,,, 2,,, 3,,,6,,,5,,, 2,,,5,,, 2,,, 3,,, 3,,, 2,,, 3,,,5,,
4,11/8/21 15:19:07,11/8/21 15:20:55,anonymous,,,,,, 3,,,5,,,5,,, 3,,, 3,,, 3,,,5,,,4,,,5,,, 2,,,4,,, 3,,,4,,,5,,, 3,,, 2,,, 3,,,4,,, 3,,,4,,
5,11/8/21 15:19:26,11/8/21 15:21:09,anonymous,,,,,,5,,,7,,, 3,,, 3,,,5,,,1,,,5,,,7,,, 2,,, 3,,,4,,, 2,,,5,,, 3,,,1,,,5,,, 3,,, 2,,,4,,, 3,,
6,11/8/21 15:19:48,11/8/21 15:21:12,anonymous,,,,,,6,,,6,,,4,,, 2,,, 3,,, 2,,,5,,,4,,, 2,,, 2,,,4,,,5,,,4,,, 3,,,1,,, 2,,, 3,,,4,,, 3,,,4,,
7,11/8/21 15:20:10,11/8/21 15:21:18,anonymous,,,,,,4,,,5,,,4,,,4,,, 3,,, 3,,,4,,,4,,, 3,,, 2,,,5,,,4,,, 2,,, 3,,,4,,,4,,, 3,,,4,,, 2,,,4,,
8,11/8/21 15:20:09,11/8/21 15:21:24,anonymous,,,,,, 3,,,6,,, 3,,, 2,,,4,,, 2,,,6,,, 3,,, 3,,,1,,, 3,,,4,,,5,,,5,,, 2,,, 2,,,5,,,6,,, 2,,, 2,,
9,11/8/21 15:19:14,11/8/21 15:21:27,anonymous,,,,,,5,,,7,,,5,,, 3,,, 3,,, 2,,,4,,, 2,,,5,,, 2,,,5,,,4,,,4,,,6,,,1,,, 2,,, 3,,,4,,, 2,,,4,,
10,11/8/21 15:19:18,11/8/21 15:21:29,anonymous,,,,,,4,,,6,,,4,,,1,,, 2,,, 3,,,4,,,1,,, 3,,,1,,,4,,,4,,,4,,,4,,,1,,,1,,, 2,,,5,,, 3,,, 2,,
